Org Code,Item Code,Item Desc,Lot No.,Locator,Quantity Accept,Price List,Exp Date,Po Category
PFA,FP-VA-663.01,DALAFUNGIL 100 MG POWDER FOR IV INFUSION,2412169,Strips(Near Expire)10,658,1346,31-Dec-26,Local
PFA,FP-TB-565,MELLITOFIX 10 MG 30 TAB,2312768A,Strips(Near Expire)11,2388,204,31-Dec-26,Local
PFA,FP-CP-059.06,CYMBATEX 20 MG 30 CAPSULES,2311408,Strips(Near Expire)12,11433,174,30-Nov-26,Local
PFA,FP-CP-059.03,CYMBATEX 30 MG 30 CAPSULES,2311409,Strips(Near Expire)12,11468,228,30-Nov-26,Local
PFA,FP-VA-270.01,NAUSETRON 0.05 MG/ 1ML VIAL 1.5ML FOR IV INJECTION,2411449,Strips(Near Expire)10,13692,127.5,31-Dec-26,Local
PFA,FP-TB-127.01,GLIMITOID 2MG 30 TABLETS,2309678,Strips(Near Expire)12,715,19.5,30-Sep-26,Local
PFA,FP-TB-395.07,TECAVIR 1 MG 30 TAB,2409534,Strips(Near Expire)12,926,2517,30-Sep-26,Local
PFA,FP-UE-291,OPTILUBRIC 1.6 MG /0.5 ML  UNI-DOSE EYE DROP 30 UNIT,2409590B,Strips(Near Expire)1,1964,96,30-Sep-26,Local
PFA,FP-CR-387,TRITOSPOT CREAM 15 GM,2310281,Strips(Near Expire)17,46,38,31-Oct-26,Local
PFA,FP-CR-246,MOOV MASSAGE CREAM 40 GM,2310292,Strips(Near Expire)17,71,23,31-Oct-26,Local
PFA,FP-CP-639.02,SERINOMANTINE 28 MG 30 CAP,2410606,Strips(Near Expire)12,394,480,31-Oct-26,Local
PFA,FP-TB-442.01,VORTOXICALM 10 MG 20 FCT,2410980,Strips(Near Expire)12,487,340,31-Oct-26,Local
PFA,FP-CP-639.01,SERINOMANTINE 14 MG 30 CAP,2410605,Strips(Near Expire)12,499,294,31-Oct-26,Local
PFA,FP-DR-522,CORNEFRESH 5 ML EYE DROP,2310927,Strips(Near Expire)15,2505,67,31-Oct-26,Local
PFA,FP-CR-102,FUSIDERM CREAM 15GM,2411341,Strips(Near Expire)17,19,44,30-Nov-26,Local
PFA,FP-TB-540,DACLAVIRDIN 60 MG 28 TAB,2311477A,Strips(Near Expire)12,107,120,30-Nov-26,Local
PFA,FP-DR-250.03,MOXIFLOX EYE DROPS 5 ML (EVAPHARMA),2311675A,Strips(Near Expire)1,349,33,30-Nov-26,Local
PFA,FP-TB-070.07,DONAZIL 5 MG ODT 20 TAB,2410932,Strips(Near Expire)11,754,88,30-Nov-26,Local
PFA,FP-TB-312.07,PAROXTINE 37.5 MG CR 30 TAB,2311583A,Strips(Near Expire)11,1231,132,30-Nov-26,Local
PFA,FP-DR-541.01,TEKLIVA 2.5 ML EYE DROPS,2411623,Strips(Near Expire)15,3909,79,30-Nov-26,Local
PFA,FP-DR-541,TEKLIVA PLUS 2.5 ML EYE DROPS,2411624,Strips(Near Expire)14,4268,116,30-Nov-26,Local
PFA,FP-SY-421,VENDEXINE SYRUP 125ML,2411659,Strips(Near Expire)17,46,29,31-Dec-26,Local
PFA,FP-SY-077,DESLORATE SYRUP 0.5 MG/ML - 100 ML,2312021,Strips(Near Expire)10,96,26,31-Dec-26,Local
PFA,FP-CP-165,INDACTOVEN 110/50 MCG 30 CAP,2505281,Strips(Near Expire)12,365,463,31-Dec-26,Local
PFA,FP-TB-127.02,GLIMITOID 4MG 30 TABLETS,2312752,Strips(Near Expire)12,598,18,31-Dec-26,Local
PFA,FP-SY-077,DESLORATE SYRUP 0.5 MG/ML - 100 ML,2312717,Strips(Near Expire)10,4777,26,31-Dec-26,Local
PFA,FP-TB-565,MELLITOFIX 10 MG 30 TAB,2312767A,Strips(Near Expire)12,7084,204,31-Dec-26,Local
PFA,FP-SY-077,DESLORATE SYRUP 0.5 MG/ML - 100 ML,2312133,Strips(Near Expire)10,12486,26,31-Dec-26,Local
PFA,FP-SY-077,DESLORATE SYRUP 0.5 MG/ML - 100 ML,2312716,Strips(Near Expire)10,14752,26,31-Dec-26,Local
