Item Code,Item Desc,Lot No.,Old Price List,Exp Date,Po Category
FP-TB-274.08,NUCLEOBUVIR VELPA 400 MG/ 100 MG 28 TAB FOR BAHRAIN,2509054B,2000,30-Sep-29,Export
OFP-TB-0243.01,GLIPTUS PLUS 50/1000 MG 30 TAB.,2607048,104,31-Jul-29,Local
FP-CP-049.59,CONVENTIN 300 MG 30 CAP (OCTOBER),2606008,114,31-Jul-29,Local
FP-CP-059.02,CYMBATEX 60 MG 30 CAPSULES,2607000,295.5,19-Jul-29,Local
FP-TB-018.02,APIXATRACK 2.5 MG 30 TAB.,2607957,366,18-Jul-29,Local
FP-LO-547.01,MINOXIGROW 5% TOPICAL 150 GM,2607012,280,11-Jul-29,Local
FP-DR-522,CORNEFRESH 5 ML EYE DROP,2605287,67,30-Jun-29,Local
FP-CP-287.01,ORLY 120 MG 30 Caps,2605484,240,30-Jun-29,Local
FP-SY-302.01,PULMOCARE SYRUP SUDAN,2606859,,31-Jul-29,Export
MA-NE-050.01,Neuth Anti Ageing Reprogramming System cream 50 ml,1,603.27632,,Local
